uuid,model,isl,layer,K,N,cs,rung,cntb,need,degenerate,skip_full,tiny32,tiny128,error
v32_32k_L07,v32,32k,7,2048,32783,1,cs1-mid,46,9,False,False,False,True,
v32_32k_L08,v32,32k,8,2048,32783,1,cs1-mid,39,32,False,False,False,True,
v32_32k_L09,v32,32k,9,2048,32783,1,cs1-mid,62,53,False,False,False,True,
v32_32k_L10,v32,32k,10,2048,32783,1,cs1-mid,65,27,False,False,False,True,
v32_32k_L11,v32,32k,11,2048,32783,1,cs1-mid,73,16,False,False,False,True,
v32_32k_L12,v32,32k,12,2048,32783,1,cs1-mid,44,19,False,False,False,True,
v32_32k_L13,v32,32k,13,2048,32783,1,cs1-mid,53,7,False,False,False,True,
v32_32k_L14,v32,32k,14,2048,32783,1,cs1-mid,46,33,False,False,False,True,
v32_32k_L15,v32,32k,15,2048,32783,1,cs1-mid,67,67,False,True,False,True,
v32_32k_L16,v32,32k,16,2048,32783,1,cs1-mid,54,9,False,False,False,True,
v32_32k_L17,v32,32k,17,2048,32783,1,cs1-mid,66,29,False,False,False,True,
v32_32k_L18,v32,32k,18,2048,32783,1,cs1-mid,42,16,False,False,False,True,
v32_32k_L19,v32,32k,19,2048,32783,1,cs1-mid,45,17,False,False,False,True,
v32_32k_L20,v32,32k,20,2048,32783,1,cs1-mid,60,46,False,False,False,True,
v32_32k_L21,v32,32k,21,2048,32783,1,cs1-mid,59,39,False,False,False,True,
v32_32k_L22,v32,32k,22,2048,32783,1,cs1-mid,56,26,False,False,False,True,
v32_32k_L23,v32,32k,23,2048,32783,1,cs1-mid,58,6,False,False,False,True,
v32_32k_L24,v32,32k,24,2048,32783,1,cs1-mid,58,3,False,False,False,True,
v32_32k_L25,v32,32k,25,2048,32783,1,cs1-mid,48,5,False,False,False,True,
v32_32k_L26,v32,32k,26,2048,32783,1,cs1-mid,63,37,False,False,False,True,
v32_32k_L27,v32,32k,27,2048,32783,1,cs1-mid,67,61,False,False,False,True,
v32_32k_L28,v32,32k,28,2048,32783,1,cs1-mid,50,26,False,False,False,True,
v32_32k_L29,v32,32k,29,2048,32783,1,cs1-mid,74,14,False,False,False,True,
v32_32k_L30,v32,32k,30,2048,32783,1,cs1-mid,44,1,False,False,False,True,
v32_32k_L31,v32,32k,31,2048,32783,1,cs1-mid,63,30,False,False,False,True,
v32_32k_L32,v32,32k,32,2048,32783,1,cs1-mid,78,36,False,False,False,True,
v32_32k_L33,v32,32k,33,2048,32783,1,cs1-mid,68,6,False,False,False,True,
v32_32k_L34,v32,32k,34,2048,32783,1,cs1-mid,55,36,False,False,False,True,
v32_32k_L35,v32,32k,35,2048,32783,1,cs1-mid,69,11,False,False,False,True,
v32_32k_L36,v32,32k,36,2048,32783,1,cs1-mid,39,33,False,False,False,True,
v32_32k_L37,v32,32k,37,2048,32783,1,cs1-mid,64,19,False,False,False,True,
v32_32k_L38,v32,32k,38,2048,32783,1,cs1-mid,75,53,False,False,False,True,
v32_32k_L39,v32,32k,39,2048,32783,1,cs1-mid,68,18,False,False,False,True,
v32_32k_L40,v32,32k,40,2048,32783,1,cs1-mid,46,12,False,False,False,True,
v32_32k_L41,v32,32k,41,2048,32783,1,cs1-mid,64,35,False,False,False,True,
v32_32k_L42,v32,32k,42,2048,32783,1,cs1-mid,54,25,False,False,False,True,
v32_32k_L43,v32,32k,43,2048,32783,1,cs1-mid,77,10,False,False,False,True,
v32_32k_L44,v32,32k,44,2048,32783,1,cs1-mid,40,11,False,False,False,True,
v32_32k_L45,v32,32k,45,2048,32783,1,cs1-mid,49,36,False,False,False,True,
v32_32k_L46,v32,32k,46,2048,32783,1,cs1-mid,66,36,False,False,False,True,
v32_32k_L47,v32,32k,47,2048,32783,1,cs1-mid,40,40,False,True,False,True,
v32_32k_L48,v32,32k,48,2048,32783,1,cs1-mid,59,19,False,False,False,True,
v32_32k_L49,v32,32k,49,2048,32783,1,cs1-mid,70,35,False,False,False,True,
v32_32k_L50,v32,32k,50,2048,32783,1,cs1-mid,45,23,False,False,False,True,
v32_32k_L51,v32,32k,51,2048,32783,1,cs1-mid,57,44,False,False,False,True,
v32_32k_L52,v32,32k,52,2048,32783,1,cs1-mid,44,42,False,False,False,True,
v32_32k_L53,v32,32k,53,2048,32783,1,cs1-mid,56,31,False,False,False,True,
v32_32k_L54,v32,32k,54,2048,32783,1,cs1-mid,55,2,False,False,False,True,
v32_32k_L55,v32,32k,55,2048,32783,1,cs1-mid,64,8,False,False,False,True,
v32_32k_L56,v32,32k,56,2048,32783,1,cs1-mid,53,17,False,False,False,True,
v32_32k_L57,v32,32k,57,2048,32783,1,cs1-mid,55,24,False,False,False,True,
v32_32k_L58,v32,32k,58,2048,32783,1,cs1-mid,80,7,False,False,False,True,
v32_32k_L59,v32,32k,59,2048,32783,1,cs1-mid,59,35,False,False,False,True,
v32_32k_L60,v32,32k,60,2048,32783,1,cs1-mid,65,53,False,False,False,True,
v32_64k_L03,v32,64k,3,2048,65551,4,cs4,50,8,False,False,False,True,
v32_64k_L04,v32,64k,4,2048,65551,4,cs4,68,58,False,False,False,True,
v32_64k_L05,v32,64k,5,2048,65551,4,cs4,45,25,False,False,False,True,
v32_64k_L06,v32,64k,6,2048,65551,4,cs4,44,38,False,False,False,True,
v32_64k_L07,v32,64k,7,2048,65551,4,cs4,53,6,False,False,False,True,
v32_64k_L08,v32,64k,8,2048,65551,4,cs4,41,10,False,False,False,True,
v32_64k_L09,v32,64k,9,2048,65551,4,cs4,64,6,False,False,False,True,
v32_64k_L10,v32,64k,10,2048,65551,4,cs4,66,40,False,False,False,True,
v32_64k_L11,v32,64k,11,2048,65551,4,cs4,66,49,False,False,False,True,
v32_64k_L12,v32,64k,12,2048,65551,4,cs4,48,38,False,False,False,True,
v32_64k_L13,v32,64k,13,2048,65551,4,cs4,42,36,False,False,False,True,
v32_64k_L14,v32,64k,14,2048,65551,4,cs4,51,28,False,False,False,True,
v32_64k_L15,v32,64k,15,2048,65551,4,cs4,63,51,False,False,False,True,
v32_64k_L16,v32,64k,16,2048,65551,4,cs4,62,38,False,False,False,True,
v32_64k_L17,v32,64k,17,2048,65551,4,cs4,81,50,False,False,False,True,
v32_64k_L18,v32,64k,18,2048,65551,4,cs4,61,34,False,False,False,True,
v32_64k_L19,v32,64k,19,2048,65551,4,cs4,66,64,False,False,False,True,
v32_64k_L20,v32,64k,20,2048,65551,4,cs4,63,26,False,False,False,True,
v32_64k_L21,v32,64k,21,2048,65551,4,cs4,84,50,False,False,False,True,
v32_64k_L22,v32,64k,22,2048,65551,4,cs4,47,10,False,False,False,True,
v32_64k_L23,v32,64k,23,2048,65551,4,cs4,51,15,False,False,False,True,
v32_64k_L24,v32,64k,24,2048,65551,4,cs4,52,15,False,False,False,True,
v32_64k_L25,v32,64k,25,2048,65551,4,cs4,40,2,False,False,False,True,
v32_64k_L26,v32,64k,26,2048,65551,4,cs4,78,40,False,False,False,True,
v32_64k_L27,v32,64k,27,2048,65551,4,cs4,62,3,False,False,False,True,
v32_64k_L28,v32,64k,28,2048,65551,4,cs4,71,37,False,False,False,True,
v32_64k_L29,v32,64k,29,2048,65551,4,cs4,54,23,False,False,False,True,
v32_64k_L30,v32,64k,30,2048,65551,4,cs4,48,34,False,False,False,True,
v32_64k_L31,v32,64k,31,2048,65551,4,cs4,60,1,False,False,False,True,
v32_64k_L32,v32,64k,32,2048,65551,4,cs4,40,29,False,False,False,True,
v32_64k_L33,v32,64k,33,2048,65551,4,cs4,55,41,False,False,False,True,
v32_64k_L34,v32,64k,34,2048,65551,4,cs4,55,53,False,False,False,True,
v32_64k_L35,v32,64k,35,2048,65551,4,cs4,48,45,False,False,False,True,
v32_64k_L36,v32,64k,36,2048,65551,4,cs4,49,25,False,False,False,True,
v32_64k_L37,v32,64k,37,2048,65551,4,cs4,62,16,False,False,False,True,
v32_64k_L38,v32,64k,38,2048,65551,4,cs4,60,21,False,False,False,True,
v32_64k_L39,v32,64k,39,2048,65551,4,cs4,70,45,False,False,False,True,
v32_64k_L40,v32,64k,40,2048,65551,4,cs4,68,39,False,False,False,True,
v32_64k_L41,v32,64k,41,2048,65551,4,cs4,53,43,False,False,False,True,
v32_64k_L42,v32,64k,42,2048,65551,4,cs4,60,54,False,False,False,True,
v32_64k_L43,v32,64k,43,2048,65551,4,cs4,48,42,False,False,False,True,
v32_64k_L44,v32,64k,44,2048,65551,4,cs4,0,36,False,True,True,True,
v32_64k_L45,v32,64k,45,2048,65551,4,cs4,51,51,False,True,False,True,
v32_64k_L46,v32,64k,46,2048,65551,4,cs4,53,23,False,False,False,True,
v32_64k_L47,v32,64k,47,2048,65551,4,cs4,48,25,False,False,False,True,
v32_64k_L48,v32,64k,48,2048,65551,4,cs4,49,49,False,True,False,True,
v32_64k_L49,v32,64k,49,2048,65551,4,cs4,65,27,False,False,False,True,
v32_64k_L50,v32,64k,50,2048,65551,4,cs4,56,18,False,False,False,True,
v32_64k_L51,v32,64k,51,2048,65551,4,cs4,57,20,False,False,False,True,
v32_64k_L52,v32,64k,52,2048,65551,4,cs4,44,4,False,False,False,True,
v32_64k_L53,v32,64k,53,2048,65551,4,cs4,73,52,False,False,False,True,
v32_64k_L54,v32,64k,54,2048,65551,4,cs4,53,29,False,False,False,True,
v32_64k_L55,v32,64k,55,2048,65551,4,cs4,71,38,False,False,False,True,
v32_64k_L56,v32,64k,56,2048,65551,4,cs4,53,47,False,False,False,True,
v32_64k_L57,v32,64k,57,2048,65551,4,cs4,48,48,False,True,False,True,
v32_64k_L58,v32,64k,58,2048,65551,4,cs4,81,28,False,False,False,True,
v32_64k_L59,v32,64k,59,2048,65551,4,cs4,45,37,False,False,False,True,
v32_64k_L60,v32,64k,60,2048,65551,4,cs4,75,56,False,False,False,True,
v32_128k_L03,v32,128k,3,2048,131087,8,cs8,54,40,False,False,False,True,
v32_128k_L04,v32,128k,4,2048,131087,8,cs8,71,15,False,False,False,True,
v32_128k_L05,v32,128k,5,2048,131087,8,cs8,53,19,False,False,False,True,
v32_128k_L06,v32,128k,6,2048,131087,8,cs8,58,48,False,False,False,True,
v32_128k_L07,v32,128k,7,2048,131087,8,cs8,58,27,False,False,False,True,
v32_128k_L08,v32,128k,8,2048,131087,8,cs8,71,27,False,False,False,True,
v32_128k_L09,v32,128k,9,2048,131087,8,cs8,67,25,False,False,False,True,
v32_128k_L10,v32,128k,10,2048,131087,8,cs8,72,41,False,False,False,True,
v32_128k_L11,v32,128k,11,2048,131087,8,cs8,60,20,False,False,False,True,
v32_128k_L12,v32,128k,12,2048,131087,8,cs8,44,36,False,False,False,True,
v32_128k_L13,v32,128k,13,2048,131087,8,cs8,50,42,False,False,False,True,
v32_128k_L14,v32,128k,14,2048,131087,8,cs8,54,19,False,False,False,True,
v32_128k_L15,v32,128k,15,2048,131087,8,cs8,52,37,False,False,False,True,
v32_128k_L16,v32,128k,16,2048,131087,8,cs8,52,33,False,False,False,True,
v32_128k_L17,v32,128k,17,2048,131087,8,cs8,84,53,False,False,False,True,
v32_128k_L18,v32,128k,18,2048,131087,8,cs8,77,19,False,False,False,True,
v32_128k_L19,v32,128k,19,2048,131087,8,cs8,73,46,False,False,False,True,
v32_128k_L20,v32,128k,20,2048,131087,8,cs8,70,67,False,False,False,True,
v32_128k_L21,v32,128k,21,2048,131087,8,cs8,77,17,False,False,False,True,
v32_128k_L22,v32,128k,22,2048,131087,8,cs8,53,18,False,False,False,True,
v32_128k_L23,v32,128k,23,2048,131087,8,cs8,54,34,False,False,False,True,
v32_128k_L24,v32,128k,24,2048,131087,8,cs8,50,39,False,False,False,True,
v32_128k_L25,v32,128k,25,2048,131087,8,cs8,75,48,False,False,False,True,
v32_128k_L26,v32,128k,26,2048,131087,8,cs8,40,8,False,False,False,True,
v32_128k_L27,v32,128k,27,2048,131087,8,cs8,30,13,False,False,True,True,
v32_128k_L28,v32,128k,28,2048,131087,8,cs8,29,1,False,False,True,True,
v32_128k_L29,v32,128k,29,2048,131087,8,cs8,48,25,False,False,False,True,
v32_128k_L30,v32,128k,30,2048,131087,8,cs8,37,26,False,False,False,True,
v32_128k_L31,v32,128k,31,2048,131087,8,cs8,50,6,False,False,False,True,
v32_128k_L32,v32,128k,32,2048,131087,8,cs8,56,5,False,False,False,True,
v32_128k_L33,v32,128k,33,2048,131087,8,cs8,49,38,False,False,False,True,
v32_128k_L34,v32,128k,34,2048,131087,8,cs8,60,34,False,False,False,True,
v32_128k_L35,v32,128k,35,2048,131087,8,cs8,53,36,False,False,False,True,
v32_128k_L36,v32,128k,36,2048,131087,8,cs8,49,47,False,False,False,True,
v32_128k_L37,v32,128k,37,2048,131087,8,cs8,56,2,False,False,False,True,
v32_128k_L38,v32,128k,38,2048,131087,8,cs8,50,16,False,False,False,True,
v32_128k_L39,v32,128k,39,2048,131087,8,cs8,68,65,False,False,False,True,
v32_128k_L40,v32,128k,40,2048,131087,8,cs8,43,1,False,False,False,True,
v32_128k_L41,v32,128k,41,2048,131087,8,cs8,65,9,False,False,False,True,
v32_128k_L42,v32,128k,42,2048,131087,8,cs8,60,26,False,False,False,True,
v32_128k_L43,v32,128k,43,2048,131087,8,cs8,73,71,False,False,False,True,
v32_128k_L44,v32,128k,44,2048,131087,8,cs8,45,39,False,False,False,True,
v32_128k_L45,v32,128k,45,2048,131087,8,cs8,52,22,False,False,False,True,
v32_128k_L46,v32,128k,46,2048,131087,8,cs8,49,49,False,True,False,True,
v32_128k_L47,v32,128k,47,2048,131087,8,cs8,41,27,False,False,False,True,
v32_128k_L48,v32,128k,48,2048,131087,8,cs8,44,16,False,False,False,True,
v32_128k_L49,v32,128k,49,2048,131087,8,cs8,55,37,False,False,False,True,
v32_128k_L50,v32,128k,50,2048,131087,8,cs8,54,38,False,False,False,True,
v32_128k_L51,v32,128k,51,2048,131087,8,cs8,55,44,False,False,False,True,
v32_128k_L52,v32,128k,52,2048,131087,8,cs8,56,41,False,False,False,True,
v32_128k_L53,v32,128k,53,2048,131087,8,cs8,59,45,False,False,False,True,
v32_128k_L54,v32,128k,54,2048,131087,8,cs8,67,65,False,False,False,True,
v32_128k_L55,v32,128k,55,2048,131087,8,cs8,56,53,False,False,False,True,
v32_128k_L56,v32,128k,56,2048,131087,8,cs8,62,38,False,False,False,True,
v32_128k_L57,v32,128k,57,2048,131087,8,cs8,40,3,False,False,False,True,
v32_128k_L58,v32,128k,58,2048,131087,8,cs8,69,5,False,False,False,True,
v32_128k_L59,v32,128k,59,2048,131087,8,cs8,59,19,False,False,False,True,
v32_128k_L60,v32,128k,60,2048,131087,8,cs8,62,7,False,False,False,True,
v32_256k_L03,v32,256k,3,2048,163775,8,cs8,52,50,False,False,False,True,
v32_256k_L04,v32,256k,4,2048,163775,8,cs8,65,64,False,False,False,True,
v32_256k_L05,v32,256k,5,2048,163775,8,cs8,43,41,False,False,False,True,
v32_256k_L06,v32,256k,6,2048,163775,8,cs8,45,38,False,False,False,True,
v32_256k_L07,v32,256k,7,2048,163775,8,cs8,52,19,False,False,False,True,
v32_256k_L08,v32,256k,8,2048,163775,8,cs8,0,37,False,True,True,True,
v32_256k_L09,v32,256k,9,2048,163775,8,cs8,65,22,False,False,False,True,
v32_256k_L10,v32,256k,10,2048,163775,8,cs8,58,48,False,False,False,True,
v32_256k_L11,v32,256k,11,2048,163775,8,cs8,67,6,False,False,False,True,
v32_256k_L12,v32,256k,12,2048,163775,8,cs8,54,30,False,False,False,True,
v32_256k_L13,v32,256k,13,2048,163775,8,cs8,55,51,False,False,False,True,
v32_256k_L14,v32,256k,14,2048,163775,8,cs8,44,11,False,False,False,True,
v32_256k_L15,v32,256k,15,2048,163775,8,cs8,61,43,False,False,False,True,
v32_256k_L16,v32,256k,16,2048,163775,8,cs8,47,45,False,False,False,True,
v32_256k_L17,v32,256k,17,2048,163775,8,cs8,74,61,False,False,False,True,
v32_256k_L18,v32,256k,18,2048,163775,8,cs8,51,16,False,False,False,True,
v32_256k_L19,v32,256k,19,2048,163775,8,cs8,74,53,False,False,False,True,
v32_256k_L20,v32,256k,20,2048,163775,8,cs8,51,5,False,False,False,True,
v32_256k_L21,v32,256k,21,2048,163775,8,cs8,88,32,False,False,False,True,
v32_256k_L22,v32,256k,22,2048,163775,8,cs8,54,6,False,False,False,True,
v32_256k_L23,v32,256k,23,2048,163775,8,cs8,50,22,False,False,False,True,
v32_256k_L24,v32,256k,24,2048,163775,8,cs8,61,14,False,False,False,True,
v32_256k_L25,v32,256k,25,2048,163775,8,cs8,60,31,False,False,False,True,
v32_256k_L26,v32,256k,26,2048,163775,8,cs8,43,27,False,False,False,True,
v32_256k_L27,v32,256k,27,2048,163775,8,cs8,28,16,False,False,True,True,
v32_256k_L28,v32,256k,28,2048,163775,8,cs8,46,46,False,True,False,True,
v32_256k_L29,v32,256k,29,2048,163775,8,cs8,48,13,False,False,False,True,
v32_256k_L30,v32,256k,30,2048,163775,8,cs8,61,46,False,False,False,True,
v32_256k_L31,v32,256k,31,2048,163775,8,cs8,33,12,False,False,False,True,
v32_256k_L32,v32,256k,32,2048,163775,8,cs8,48,1,False,False,False,True,
v32_256k_L33,v32,256k,33,2048,163775,8,cs8,63,52,False,False,False,True,
v32_256k_L34,v32,256k,34,2048,163775,8,cs8,64,19,False,False,False,True,
v32_256k_L35,v32,256k,35,2048,163775,8,cs8,60,10,False,False,False,True,
v32_256k_L36,v32,256k,36,2048,163775,8,cs8,67,35,False,False,False,True,
v32_256k_L37,v32,256k,37,2048,163775,8,cs8,69,67,False,False,False,True,
v32_256k_L38,v32,256k,38,2048,163775,8,cs8,54,10,False,False,False,True,
v32_256k_L39,v32,256k,39,2048,163775,8,cs8,70,51,False,False,False,True,
v32_256k_L40,v32,256k,40,2048,163775,8,cs8,58,10,False,False,False,True,
v32_256k_L41,v32,256k,41,2048,163775,8,cs8,47,23,False,False,False,True,
v32_256k_L42,v32,256k,42,2048,163775,8,cs8,59,8,False,False,False,True,
v32_256k_L43,v32,256k,43,2048,163775,8,cs8,48,24,False,False,False,True,
v32_256k_L44,v32,256k,44,2048,163775,8,cs8,54,24,False,False,False,True,
v32_256k_L45,v32,256k,45,2048,163775,8,cs8,63,25,False,False,False,True,
v32_256k_L46,v32,256k,46,2048,163775,8,cs8,47,15,False,False,False,True,
v32_256k_L47,v32,256k,47,2048,163775,8,cs8,60,35,False,False,False,True,
v32_256k_L48,v32,256k,48,2048,163775,8,cs8,58,58,False,True,False,True,
v32_256k_L49,v32,256k,49,2048,163775,8,cs8,63,36,False,False,False,True,
v32_256k_L50,v32,256k,50,2048,163775,8,cs8,45,30,False,False,False,True,
v32_256k_L51,v32,256k,51,2048,163775,8,cs8,73,73,False,True,False,True,
v32_256k_L52,v32,256k,52,2048,163775,8,cs8,62,9,False,False,False,True,
v32_256k_L53,v32,256k,53,2048,163775,8,cs8,78,56,False,False,False,True,
v32_256k_L54,v32,256k,54,2048,163775,8,cs8,75,32,False,False,False,True,
v32_256k_L55,v32,256k,55,2048,163775,8,cs8,62,9,False,False,False,True,
v32_256k_L56,v32,256k,56,2048,163775,8,cs8,70,9,False,False,False,True,
v32_256k_L57,v32,256k,57,2048,163775,8,cs8,52,4,False,False,False,True,
v32_256k_L58,v32,256k,58,2048,163775,8,cs8,75,18,False,False,False,True,
v32_256k_L59,v32,256k,59,2048,163775,8,cs8,58,15,False,False,False,True,
v32_256k_L60,v32,256k,60,2048,163775,8,cs8,59,16,False,False,False,True,
